15.01,0.96703
15.02,0.96558
15.03,0.96627
15.04,0.96653
15.05,0.96599
15.06,0.96666
15.07,0.96596
15.08,0.96728
15.09,0.96655
15.1,0.96705
15.11,0.96734
15.12,0.96705
15.13,0.968
15.14,0.96719
15.15,0.96758
15.16,0.96781
15.17,0.96717
15.18,0.96779
15.19,0.96782
15.2,0.96812
15.21,0.9681
15.22,0.9681
15.23,0.96876
15.24,0.96932
15.25,0.96901
15.26,0.96941
15.27,0.96965
15.28,0.96957
15.29,0.9693
15.3,0.96927
15.31,0.96918
15.32,0.96964
15.33,0.97003
15.34,0.97052
15.35,0.9707
15.36,0.9712
15.37,0.9712
15.38,0.97109
15.39,0.97108
15.4,0.97171
15.41,0.97118
15.42,0.97225
15.43,0.97179
15.44,0.972
15.45,0.97219
15.46,0.97233
15.47,0.97237
15.48,0.97239
15.49,0.97274
15.5,0.97282
15.51,0.97265
15.52,0.97279
15.53,0.97288
15.54,0.97323
15.55,0.97318
15.56,0.97331
15.57,0.97325
15.58,0.97381
15.59,0.97387
15.6,0.97374
15.61,0.97479
15.62,0.97395
15.63,0.97493
15.64,0.97496
15.65,0.97523
15.66,0.97575
15.67,0.97538
15.68,0.97596
15.69,0.97585
15.7,0.9764
15.71,0.97642
15.72,0.97645
15.73,0.97757
15.74,0.97707
15.75,0.97796
15.76,0.97819
15.77,0.97791
15.78,0.97866
15.79,0.97778
15.8,0.97792
15.81,0.97784
15.82,0.97754
15.83,0.9777
15.84,0.97733
15.85,0.97813
15.86,0.97794
15.87,0.97791
15.88,0.97802
15.89,0.97728
15.9,0.97786
15.91,0.97717
15.92,0.97757
15.93,0.97708
15.94,0.97656
15.95,0.97758
15.96,0.97725
15.97,0.97774
15.98,0.97761
15.99,0.97781
16,0.97784
16.01,0.97764
16.02,0.97819
16.03,0.97821
16.04,0.97861
16.05,0.97848
16.06,0.97807
16.07,0.97877
16.08,0.97823
16.09,0.97895
16.1,0.97873
16.11,0.97889
16.12,0.97944
16.13,0.97903
16.14,0.97984
16.15,0.9794
16.16,0.97921
16.17,0.97945
16.18,0.9795
16.19,0.9793
16.2,0.97913
16.21,0.97941
16.22,0.97908
16.23,0.97944
16.24,0.97972
16.25,0.97896
16.26,0.97917
16.27,0.97917
16.28,0.97924
16.29,0.97986
16.3,0.97981
16.31,0.9795
16.32,0.97974
16.33,0.97959
16.34,0.98069
16.35,0.98083
16.36,0.98146
16.37,0.98106
16.38,0.98087
16.39,0.98152
16.4,0.98155
16.41,0.98176
16.42,0.98162
16.43,0.98139
16.44,0.98162
16.45,0.98148
16.46,0.98168
16.47,0.98203
16.48,0.98209
16.49,0.98199
16.5,0.98164
16.51,0.9814
16.52,0.98182
16.53,0.98114
16.54,0.98158
16.55,0.98125
16.56,0.98101
16.57,0.98107
16.58,0.98073
16.59,0.9814
16.6,0.98142
16.61,0.98134
16.62,0.98181
16.63,0.98182
16.64,0.98228
16.65,0.98205
16.66,0.98202
16.67,0.98214
16.68,0.98193
16.69,0.98191
16.7,0.98203
16.71,0.98106
16.72,0.98165
16.73,0.98145
16.74,0.98181
16.75,0.98233
16.76,0.98176
16.77,0.9823
16.78,0.98229
16.79,0.98192
16.8,0.98198
16.81,0.98187
16.82,0.98185
16.83,0.98198
16.84,0.98176
16.85,0.98213
16.86,0.98207
16.87,0.98173
16.88,0.98185
16.89,0.98167
16.9,0.98145
16.91,0.98159
16.92,0.9817
16.93,0.98192
16.94,0.98216
16.95,0.98217
16.96,0.98231
16.97,0.98242
16.98,0.98253
16.99,0.98273
17,0.98236
17.01,0.98247
17.02,0.98233
17.03,0.98267
17.04,0.98245
17.05,0.98271
17.06,0.98348
17.07,0.98308
17.08,0.9838
17.09,0.98408
17.1,0.98431
17.11,0.98455
17.12,0.98428
17.13,0.98398
17.14,0.98398
17.15,0.98388
17.16,0.98442
17.17,0.98375
17.18,0.98405
17.19,0.98429
17.2,0.98385
17.21,0.98406
17.22,0.98401
17.23,0.9845
17.24,0.98474
17.25,0.98409
17.26,0.98374
17.27,0.98357
17.28,0.98318
17.29,0.98326
17.3,0.98304
17.31,0.98382
17.32,0.98314
17.33,0.98312
17.34,0.98318
17.35,0.98296
17.36,0.9832
17.37,0.98291
17.38,0.98291
17.39,0.98369
17.4,0.98383
17.41,0.98416
17.42,0.98377
17.43,0.98406
17.44,0.98391
17.45,0.9841
17.46,0.9842
17.47,0.98488
17.48,0.98416
17.49,0.98461
17.5,0.98429
17.51,0.98445
17.52,0.98474
17.53,0.98396
17.54,0.98442
17.55,0.98435
17.56,0.98443
17.57,0.98498
17.58,0.98513
17.59,0.98579
17.6,0.98606
17.61,0.98637
17.62,0.98596
17.63,0.98608
17.64,0.98675
17.65,0.98568
17.66,0.98606
17.67,0.98586
17.68,0.98616
17.69,0.98579
17.7,0.98586
17.71,0.9863
17.72,0.98598
17.73,0.98572
17.74,0.98531
17.75,0.98539
17.76,0.98571
17.77,0.98553
17.78,0.98596
17.79,0.98552
17.8,0.98618
17.81,0.98619
17.82,0.98636
17.83,0.98676
17.84,0.98672
17.85,0.98669
17.86,0.98659
17.87,0.98657
17.88,0.98701
17.89,0.9862
17.9,0.98698
17.91,0.98652
17.92,0.98674
17.93,0.98696
17.94,0.98701
17.95,0.9872
17.96,0.98664
17.97,0.98617
17.98,0.98574
17.99,0.98572
18,0.98535
18.01,0.98565
18.02,0.98558
18.03,0.98594
18.04,0.98578
18.05,0.98577
18.06,0.98604
18.07,0.98571
18.08,0.98596
18.09,0.98566
18.1,0.98568
18.11,0.98552
18.12,0.9853
